"TIME","PARTNER","UNIT","NACE_R2","GEO","Value","Flag and Footnotes"
"2013","Austria","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","695,911",""
"2013","Austria","Number","Hotels and similar accommodation","Croatia","2,303,143",""
"2013","Austria","Number","Hotels and similar accommodation","Slovenia","566,875",""
"2013","Austria","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","1,405,393",""
"2013","Austria","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","74,329",""
"2013","Slovenia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","6,145,209",""
"2013","Slovenia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","3,583,709",""
"2013","Slovenia","Number","Hotels and similar accommodation","Croatia","1,248,769",""
"2013","Slovenia","Number","Hotels and similar accommodation","Slovenia","1,972,671",""
"2013","Slovenia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","2,876,755",""
"2013","Slovenia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","534,454",""
"2013","United Kingdom","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","1,903,333",""
"2013","United Kingdom","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","241,326",""
"2013","United Kingdom","Number","Hotels and similar accommodation","Croatia","1,172,065",""
"2013","United Kingdom","Number","Hotels and similar accommodation","Slovenia","172,759",""
"2013","United Kingdom","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","145,015",""
"2013","United Kingdom","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","20,122",""
"2013","America","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","929,841",""
"2013","America","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","190,404",""
"2013","America","Number","Hotels and similar accommodation","Croatia","567,358",""
"2013","America","Number","Hotels and similar accommodation","Slovenia","153,327",""
"2013","America","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","26,826",""
